,Unnamed: 0,track_id,track_name,artist_name,acousticness,energy,danceability,duration_ms,liveness,tempo,valence,release_date
0,0,1aL9518P5G72N92b48tuKw,Summer High,AP Dhillon,0.165,0.541,0.86,177391,0.0663,114.984,0.952,2022-08-05
1,1,08Isz2ETWSBhvIl8UpKYsp,No Love,Shubh,0.24,0.487,0.768,170387,0.175,137.034,0.722,2022-02-22
2,2,42TMa2hgBNjte4uV7jNCnQ,Baller,Shubh;Ikky,0.00487,0.7020000000000001,0.711,148188,0.0932,180.219,0.674,2022-09-09
3,3,3UhmuWcFaLS3AO3kI9ynQ2,Insane,AP Dhillon;Shinda Kahlon;Gurinder Gill;Gminxr,0.416,0.5720000000000001,0.7959999999999999,206060,0.0975,98.967,0.304,2021-04-16
4,4,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,0.0383,0.764,0.591,141805,0.103,169.928,0.478,2021-07-09
5,5,3wz2vWhYnnBoFmgMkqtzLy,Daku,Chani Nattan;Inderpal Moga,0.325,0.5579999999999999,0.847,131077,0.135,98.062,0.495,2021-01-16
6,6,7AsG1F1eMWd17RYan8M3Wm,Dil Nu,AP Dhillon;Shinda Kahlon,0.0947,0.655,0.8109999999999999,233666,0.068,117.979,0.925,2022-10-07
7,7,7IK26RNUdgoZWJdlarrcty,All Night (Live),AP Dhillon;Shinda Kahlon,0.13699999999999998,0.456,0.723,229510,0.081,101.139,0.0383,2022-10-07
8,8,2AilvPt1AQ8PixlCKqkjfj,Elevated,Shubh,0.214,0.5329999999999999,0.828,200658,0.307,93.021,0.605,2021-10-22
9,9,32FVH23yFXr8Z0sfjRw4It,Wo Noor,AP Dhillon,0.193,0.5539999999999999,0.7609999999999999,199420,0.0802,92.52,0.555,2022-10-07
10,10,29m79w9xPMH4YCD6r8JSmV,Excuses,AP Dhillon;Gurinder Gill;Intense,0.0842,0.7170000000000001,0.8370000000000001,176232,0.149,94.984,0.494,2020-07-24
11,11,6ZYxNjuAU9Vy3VtF6W1dtE,We Rollin,Shubh,0.261,0.504,0.82,199205,0.104,85.016,0.275,2021-09-09
12,12,5RrOyaV2xOAnf62uWj24dB,OOPS,King,0.314,0.6729999999999999,0.918,163200,0.0555,99.952,0.828,2022-08-23
13,13,2uThc9fZx2BEL3t6uuRMO1,Cold Hours,aleemrk;Umair,0.316,0.613,0.737,206117,0.343,170.14,0.493,2022-08-07
14,14,70wFZWY6cKFxp3Qcq8uxH4,Ektarfa,King,0.596,0.472,0.748,230903,0.102,149.97,0.364,2022-05-20
15,15,2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,0.6609999999999999,0.457,0.5920000000000001,110886,0.146,146.04,0.225,2018-03-16
16,16,58f4twRnbZOOVUhMUpplJ4,Brown Munde,AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon,0.223,0.611,0.8540000000000001,254400,0.119,100.024,0.417,2020-09-18
17,17,3sqRODOZ1Z6hR4F2tnFAlg,Sakhiyaan,Maninder Buttar,0.3,0.674,0.706,179325,0.202,83.001,0.359,2018-10-21
18,18,6XPmY4hIb1RGRyNuq0UBsl,Kina Chir,The PropheC,0.0955,0.431,0.622,216026,0.08800000000000001,117.919,0.365,2016-12-29
19,19,6TClJ8jXi3OBV7gcrU3jx5,TERE TE,AP Dhillon;Gurinder Gill,0.0508,0.488,0.6920000000000001,114418,0.154,171.9,0.299,2021-11-21
20,20,1W1dS4VnIrYnllQJ3CAcZy,So High,Sidhu Moose Wala,0.0152,0.763,0.5379999999999999,218666,0.109,180.002,0.484,2017-08-10
21,21,0a6zRnrjmaOcqsEIFkXIhw,Khaab,Akhil,0.417,0.6609999999999999,0.662,201689,0.0784,80.009,0.222,2016-01-09
22,22,0yCWDaAgOtg6TKlNCg9rwA,Tu Aake Dekhle,King,0.515,0.84,0.77,270000,0.145,96.012,0.192,2020-09-21
